"feature_type","osm_id","label","name","operator","source_geometry","longitude","latitude"
"park",NA,"Ralph C. Wilson, Jr. Centennial Park","Ralph C. Wilson, Jr. Centennial Park",NA,"polygon",-83.0623491076468,42.32200725
"park",NA,"Dequindre Cut Greenway","Dequindre Cut Greenway",NA,"polygon",-83.0336776744346,42.34404805
"park",NA,"Ford Woods Park","Ford Woods Park",NA,"polygon",-83.1932132058065,42.33185555
"park",NA,NA,NA,NA,"polygon",-83.0457451540115,42.3379075
"park",NA,"Hart Plaza","Hart Plaza",NA,"polygon",-83.0445599934568,42.32741755
"park",NA,"Cadillac Square Park","Cadillac Square Park",NA,"polygon",-83.0448204491848,42.33155345
"park",NA,"Beacon Park","Beacon Park",NA,"polygon",-83.055267154808,42.3345387
"park",NA,"New Center Park","New Center Park",NA,"polygon",-83.0769394004822,42.36844975
"park",NA,"Scripps Park","Scripps Park","City of Detroit","polygon",-83.0740570725631,42.3431771
"park",NA,"Dorais Park","Dorais Park",NA,"polygon",-83.0470752692334,42.442976
"park",NA,"Veterans Park","Veterans Park",NA,"polygon",-83.0506061694902,42.3905803
"park",NA,NA,NA,NA,"polygon",-83.0480348616145,42.3933077
"park",NA,"Ewald Playground","Ewald Playground",NA,"polygon",-83.0959037532379,42.34753705
"park",NA,NA,NA,NA,"polygon",-83.1935511632101,42.29691725
"park",NA,"Eliza Howell Park","Eliza Howell Park","City of Detroit","polygon",-83.2697500317484,42.3930594
"park",NA,"Stoepel Park No. 1","Stoepel Park No. 1",NA,"polygon",-83.2347163636209,42.3964615
"park",NA,"Stein Playground","Stein Playground",NA,"polygon",-83.2232820561648,42.3631884
"park",NA,"Stoepel Park Number 2","Stoepel Park Number 2",NA,"polygon",-83.2064704068673,42.3625492
"park",NA,"Hemlock Park","Hemlock Park",NA,"polygon",-83.1727315060697,42.3326846
"park",NA,"O'Hair Park","O'Hair Park","Detroit Parks and Recreation","polygon",-83.2310134990787,42.43905835
"park",NA,"Fields Playground","Fields Playground",NA,"polygon",-83.201933025577,42.4113811
"park",NA,"Peterson Playfield","Peterson Playfield",NA,"polygon",-83.1971409102573,42.4241429
"park",NA,"Comstock Playground","Comstock Playground",NA,"polygon",-83.1972234560462,42.44219855
"park",NA,"Diack Playground","Diack Playground",NA,"polygon",-83.1830569884558,42.42281175
"park",NA,"Arlingdale Park","Arlingdale Park",NA,"polygon",-83.0843360752944,42.5729031
"park",NA,"(North) James C. Nelson Park","(North) James C. Nelson Park","City of Sterling Heights","polygon",-83.0804476093261,42.5549773
"park",NA,NA,NA,NA,"polygon",-83.6670024638019,42.26445775
"park",NA,NA,NA,NA,"polygon",-83.6683112824694,42.2619594
"park",NA,"Kellogg Park","Kellogg Park",NA,"polygon",-83.4688487722693,42.3702135
"park",NA,"Village Green","Village Green",NA,"polygon",-83.2265286922885,42.30648405
"park",NA,"Schemansky Park","Schemansky Park",NA,"polygon",-83.2392844877114,42.2869588
"park",NA,"Catalpa Oaks County Park","Catalpa Oaks County Park",NA,"polygon",-83.2057426753537,42.493998
"park",NA,"Fort Wayne","Fort Wayne","City of Detroit","polygon",-83.0986713123119,42.2976812
"park",NA,"Whittier Park","Whittier Park",NA,"polygon",-83.1349707589616,42.4931821
"park",NA,NA,NA,NA,"polygon",-83.0382909929891,42.3282984
"park",NA,"Riverfront Garden Rooms","Riverfront Garden Rooms",NA,"polygon",-83.0357663463006,42.3288589
"park",NA,"Campus Martius Park","Campus Martius Park","Downtown Detroit Partnership","polygon",-83.0466223869556,42.3315615
"park",NA,NA,NA,NA,"polygon",-83.0465456596356,42.3313315
"park",NA,"Grant Park","Grant Park",NA,"polygon",-83.1361154678049,42.48627225
"park",NA,"Patricia Paruch Park","Patricia Paruch Park",NA,"polygon",-83.1511773846028,42.50920225
"park",NA,"Jaycee Park","Jaycee Park",NA,"polygon",-83.1975469315007,42.509459
"park",NA,"Clawson Park","Clawson Park",NA,"polygon",-83.1683447898356,42.51528745
"park",NA,NA,NA,NA,"polygon",-83.0484670490906,42.3370447
"park",NA,NA,NA,NA,"polygon",-83.0473044865583,42.33705335
"park",NA,"Harmonie Park","Harmonie Park",NA,"polygon",-83.0463057192441,42.33638685
"park",NA,NA,NA,NA,"polygon",-83.045391827427,42.3353917
"park",NA,NA,NA,NA,"polygon",-83.049541516696,42.3289353
"park",NA,NA,NA,NA,"polygon",-83.0538503695351,42.32941115
"park",NA,NA,NA,NA,"polygon",-83.0491179085326,42.3283464
"park",NA,NA,NA,NA,"polygon",-83.0487516634197,42.32779555
"park",NA,NA,NA,NA,"polygon",-83.0488901127182,42.32805415
"park",NA,NA,NA,NA,"polygon",-83.0427423961756,42.3289515
"park",NA,"Riverside Park","Riverside Park",NA,"polygon",-83.6112641710015,42.24355
"park",NA,"Frog Island Park","Frog Island Park",NA,"polygon",-83.6118637394183,42.24754215
"park",NA,"Prospect Park","Prospect Park","City of Ypsilanti","polygon",-83.6014513392439,42.24692445
"park",NA,"Edith Hefley Park","Edith Hefley Park",NA,"polygon",-83.6269900430478,42.2424127
"park",NA,"Recreation Park","Recreation Park",NA,"polygon",-83.6282335710716,42.2397607
"park",NA,"Candy Cane Park","Candy Cane Park",NA,"polygon",-83.6386653274318,42.2506664
"park",NA,"Parkridge Park","Parkridge Park","City of Ypsilanti","polygon",-83.6215529136364,42.23199505
"park",NA,"Charles Street Tot Lot","Charles Street Tot Lot",NA,"polygon",-83.5995209965468,42.25224475
"park",NA,"Waterworks Park","Waterworks Park",NA,"polygon",-83.6066735674968,42.2363685
"park",NA,"Carrie Mattingly Tot Lot","Carrie Mattingly Tot Lot","City of Ypsilanti","polygon",-83.6197215091709,42.23811325
"park",NA,NA,NA,NA,"polygon",-83.6117933506291,42.23940395
"park",NA,"Peninsular Park","Peninsular Park","City of Ypsilanti","polygon",-83.62399891559,42.25677015
"park",NA,NA,NA,NA,"polygon",-83.6264689080144,42.2377165
"park",NA,"Voigt Park","Voigt Park",NA,"polygon",-83.0877129790583,42.38336495
"park",NA,"Mary Beth Doyle Park & Wetland Preserve","Mary Beth Doyle Park & Wetland Preserve",NA,"polygon",-83.7102305275035,42.23975455
"park",NA,"Rose Park","Rose Park",NA,"polygon",-83.7119486421973,42.24394555
"park",NA,NA,NA,NA,"polygon",-83.5244594407334,42.3168866
"park",NA,"Willow Metropark","Willow Metropark",NA,"polygon",-83.3699860298498,42.1327682
"park",NA,NA,NA,NA,"polygon",-83.4042550173278,42.1120317
"park",NA,"Bishop Park","Bishop Park",NA,"polygon",-83.1464933493568,42.20543815
"park",NA,"Memorial Park","Memorial Park",NA,"polygon",-83.1776113943874,42.2385106
"park",NA,NA,NA,NA,"polygon",-83.1574327622835,42.21247095
"park",NA,"Slocum Truax Park","Slocum Truax Park","City of Trenton","polygon",-83.1792217078821,42.14702155
"park",NA,"Meyer Ellias Memorial Park","Meyer Ellias Memorial Park","City of Trenton","polygon",-83.1739886295335,42.1521954
"park",NA,"Hackett Playground","Hackett Playground",NA,"polygon",-83.2259372329785,42.41790885
"park",NA,"Bale Playground","Bale Playground",NA,"polygon",-83.201094450996,42.42737095
"park",NA,"Rogell Park","Rogell Park","City of Detroit","polygon",-83.2660200386742,42.42498185
"park",NA,"Milan Playground","Milan Playground",NA,"polygon",-83.2366356757034,42.42348575
"park",NA,"Claude Allison Park","Claude Allison Park","Redford Twp, MI","polygon",-83.2945310100109,42.4221772
"park",NA,"Bell Creek County Park","Bell Creek County Park",NA,"polygon",-83.3129686198292,42.4023435
"park",NA,"Pallister Park","Pallister Park",NA,"polygon",-83.0789179140315,42.37219395
"park",NA,"Pulaski Park","Pulaski Park","City of Wyandotte","polygon",-83.1695538931673,42.2102336
"park",NA,"BASF Waterfront Park","BASF Waterfront Park",NA,"polygon",-83.150566659902,42.1959174
"park",NA,"Harris Park","Harris Park",NA,"polygon",-83.5815481604409,42.24438685
"park",NA,"North Bay Park","North Bay Park","Charter Township of Ypsilanti","polygon",-83.6044522122532,42.2240033
