codd,model,dependent_variable,term,b,std_error,beta,t,sig,tolerance,vif
3,3,ln_price,YB_PRE_1910,0.701,0.296,0.058,2.368,0.018,0.823,1.215
3,3,ln_price,LN_GARAGESPACES,0.113,0.041,0.065,2.789,0.005,0.926,1.08
3,3,ln_price,CENTRAL_AIR,0.091,0.033,0.064,2.745,0.006,0.927,1.079
3,3,ln_price,ECF3R302,0.745,0.198,0.088,3.764,0.001,0.923,1.083
3,3,ln_price,ECF3R306,0.778,0.092,0.203,8.439,0.001,0.866,1.155
3,3,ln_price,ECF3R307,0.16,0.045,0.084,3.525,0.001,0.879,1.138
3,3,ln_price,ECF3R309,-0.261,0.132,-0.045,-1.984,0.047,0.97,1.031
3,3,ln_price,ECF3R310,0.942,0.071,0.315,13.19,0.001,0.879,1.138
3,3,ln_price,ECF3R314,0.251,0.071,0.082,3.552,0.001,0.935,1.069
3,3,ln_price,ECF3R315,0.308,0.063,0.117,4.918,0.001,0.888,1.126
3,3,ln_price,ECF3R317,-0.296,0.158,-0.043,-1.875,0.061,0.968,1.033
3,3,ln_price,ECF3R320,0.122,0.047,0.064,2.611,0.009,0.835,1.198
3,3,ln_price,ECF3R321,-0.303,0.089,-0.079,-3.415,0.001,0.938,1.066
3,3,ln_price,ECF3R322,0.332,0.058,0.142,5.697,0.001,0.813,1.23
3,3,ln_price,ECF3R323,0.173,0.046,0.096,3.766,0.001,0.766,1.306
3,3,ln_price,ECF3R324,-0.19,0.092,-0.048,-2.069,0.039,0.939,1.065
3,3,ln_price,ECF3R326,-0.291,0.133,-0.05,-2.185,0.029,0.945,1.058
3,3,ln_price,MONTHS_1TO9,0.013,0.006,0.058,2.057,0.04,0.632,1.582
3,3,ln_price,MONTHS_10TO24,0.007,0.003,0.069,2.432,0.015,0.632,1.583
3,4,ln_price,(Constant),10.839,0.046,,237.664,0.001,,
3,4,ln_price,LN_LANDRATIO,0.174,0.066,0.066,2.627,0.009,0.763,1.311
3,4,ln_price,SMALLEST,-0.148,0.041,-0.093,-3.639,0.001,0.746,1.341
3,4,ln_price,SMALL,-0.09,0.027,-0.085,-3.272,0.001,0.717,1.394
3,4,ln_price,POWDER_ROOM,0.19,0.062,0.072,3.075,0.002,0.895,1.118
3,4,ln_price,FAIR,-0.17,0.026,-0.148,-6.461,0.001,0.924,1.083
3,4,ln_price,POOR,-0.284,0.065,-0.099,-4.375,0.001,0.956,1.046
3,4,ln_price,UNSOUND,0.446,0.226,0.044,1.973,0.049,0.991,1.009
3,4,ln_price,QBELOW_AVG,-0.07,0.027,-0.07,-2.551,0.011,0.649,1.541
3,4,ln_price,EXT_OTHER,-0.173,0.029,-0.158,-5.997,0.001,0.698,1.432
3,4,ln_price,YB_1910_TO_1929,-0.07,0.041,-0.048,-1.709,0.088,0.626,1.596
3,4,ln_price,YB_POST_1990,-0.558,0.229,-0.063,-2.437,0.015,0.727,1.376
3,4,ln_price,LN_GARAGESPACES,0.102,0.036,0.065,2.845,0.005,0.944,1.059
3,4,ln_price,CENTRAL_AIR,0.1,0.029,0.079,3.455,0.001,0.929,1.076
3,4,ln_price,ECF3R302,1.506,0.452,0.085,3.332,0.001,0.744,1.344
3,4,ln_price,ECF3R303,0.105,0.045,0.055,2.313,0.021,0.857,1.166
3,4,ln_price,ECF3R306,1.029,0.11,0.217,9.347,0.001,0.905,1.104
3,4,ln_price,ECF3R307,0.179,0.04,0.107,4.459,0.001,0.838,1.193
3,4,ln_price,ECF3R310,1.124,0.067,0.41,16.889,0.001,0.826,1.211
3,4,ln_price,ECF3R314,0.347,0.065,0.122,5.318,0.001,0.919,1.088
3,4,ln_price,ECF3R315,0.39,0.055,0.167,7.071,0.001,0.872,1.146
3,4,ln_price,ECF3R320,0.129,0.041,0.079,3.183,0.001,0.796,1.256
3,4,ln_price,ECF3R321,-0.267,0.098,-0.062,-2.73,0.006,0.949,1.054
3,4,ln_price,ECF3R322,0.351,0.05,0.174,6.991,0.001,0.786,1.272
3,4,ln_price,ECF3R323,0.184,0.041,0.117,4.52,0.001,0.72,1.389
3,4,ln_price,ECF3R325,0.1,0.055,0.044,1.804,0.072,0.825,1.213
3,4,ln_price,MONTHS_1TO9,0.013,0.005,0.067,2.417,0.016,0.635,1.576
3,4,ln_price,MONTHS_10TO24,0.007,0.003,0.069,2.495,0.013,0.631,1.584
3,5,ln_tasp,(Constant),11.057,0.03,,369.519,0.001,,
3,5,ln_tasp,LN_LANDRATIO,0.174,0.066,0.067,2.63,0.009,0.763,1.31
3,5,ln_tasp,SMALLEST,-0.148,0.04,-0.094,-3.648,0.001,0.748,1.337
3,5,ln_tasp,SMALL,-0.09,0.027,-0.086,-3.278,0.001,0.719,1.392
3,5,ln_tasp,POWDER_ROOM,0.19,0.062,0.072,3.078,0.002,0.895,1.117
3,5,ln_tasp,FAIR,-0.17,0.026,-0.149,-6.467,0.001,0.924,1.083
3,5,ln_tasp,POOR,-0.284,0.065,-0.099,-4.379,0.001,0.956,1.046
3,5,ln_tasp,UNSOUND,0.447,0.226,0.044,1.977,0.048,0.992,1.008
3,5,ln_tasp,QBELOW_AVG,-0.07,0.027,-0.07,-2.553,0.011,0.649,1.541
3,5,ln_tasp,EXT_OTHER,-0.173,0.029,-0.159,-6.003,0.001,0.698,1.432
3,5,ln_tasp,YB_1910_TO_1929,-0.07,0.041,-0.048,-1.711,0.087,0.627,1.595
3,5,ln_tasp,YB_POST_1990,-0.557,0.228,-0.063,-2.444,0.015,0.731,1.368
3,5,ln_tasp,LN_GARAGESPACES,0.102,0.036,0.065,2.849,0.004,0.945,1.059
3,5,ln_tasp,CENTRAL_AIR,0.1,0.029,0.08,3.458,0.001,0.93,1.076
3,5,ln_tasp,ECF3R302,1.506,0.451,0.086,3.335,0.001,0.744,1.344
3,5,ln_tasp,ECF3R303,0.105,0.045,0.056,2.315,0.021,0.858,1.166
3,5,ln_tasp,ECF3R306,1.029,0.11,0.218,9.359,0.001,0.906,1.104
3,5,ln_tasp,ECF3R307,0.179,0.04,0.108,4.468,0.001,0.84,1.191
3,5,ln_tasp,ECF3R310,1.124,0.066,0.413,16.92,0.001,0.827,1.208
3,5,ln_tasp,ECF3R314,0.347,0.065,0.123,5.322,0.001,0.92,1.088
3,5,ln_tasp,ECF3R315,0.39,0.055,0.168,7.078,0.001,0.873,1.146
3,5,ln_tasp,ECF3R320,0.129,0.04,0.079,3.191,0.001,0.798,1.253
3,5,ln_tasp,ECF3R321,-0.266,0.097,-0.062,-2.735,0.006,0.952,1.05
3,5,ln_tasp,ECF3R322,0.351,0.05,0.175,7.003,0.001,0.787,1.27
3,5,ln_tasp,ECF3R323,0.184,0.041,0.118,4.528,0.001,0.721,1.387
3,5,ln_tasp,ECF3R325,0.1,0.055,0.044,1.809,0.071,0.83,1.205
3,6,ln_tasp,(Constant),10.011,0.206,,48.707,0.001,,
3,6,ln_tasp,LN_LANDRATIO,0.107,0.063,0.04,1.71,0.087,0.647,1.545
3,6,ln_tasp,LNSBLDSFINT,0.155,0.032,0.118,4.899,0.001,0.599,1.671
3,6,ln_tasp,HALF_DUPLEX2STORY,-1.053,0.444,-0.044,-2.369,0.018,0.991,1.01
3,6,ln_tasp,SMALL,-0.051,0.024,-0.043,-2.118,0.034,0.847,1.181
3,6,ln_tasp,LARGEST,0.244,0.086,0.057,2.834,0.005,0.869,1.151
3,6,ln_tasp,FAIR,-0.193,0.024,-0.155,-7.953,0.001,0.918,1.09
3,6,ln_tasp,POOR,-0.399,0.054,-0.143,-7.376,0.001,0.932,1.073
3,6,ln_tasp,UNSOUND,0.366,0.17,0.041,2.156,0.031,0.973,1.028
3,6,ln_tasp,QBELOW_AVG,-0.068,0.027,-0.06,-2.529,0.012,0.614,1.629
3,6,ln_tasp,QPOOR,0.495,0.201,0.047,2.467,0.014,0.974,1.027
3,6,ln_tasp,EXT_OTHER,-0.16,0.027,-0.139,-5.936,0.001,0.638,1.568
3,6,ln_tasp,YB_1910_TO_1929,-0.107,0.036,-0.077,-2.958,0.003,0.519,1.926
3,6,ln_tasp,GARAGE,0.077,0.026,0.063,2.996,0.003,0.799,1.252
3,6,ln_tasp,HOT_WATER,0.099,0.056,0.036,1.769,0.077,0.851,1.176
3,6,ln_tasp,WALL,-0.415,0.162,-0.049,-2.566,0.01,0.937,1.067
3,6,ln_tasp,CENTRAL_AIR,0.094,0.03,0.061,3.132,0.002,0.918,1.089
3,6,ln_tasp,ECF3R302,0.534,0.223,0.045,2.39,0.017,0.982,1.018
3,6,ln_tasp,ECF3R303,0.13,0.04,0.067,3.251,0.001,0.812,1.232
3,6,ln_tasp,ECF3R304,-0.192,0.071,-0.053,-2.706,0.007,0.902,1.109
3,6,ln_tasp,ECF3R306,0.793,0.075,0.217,10.557,0.001,0.826,1.211
3,6,ln_tasp,ECF3R307,0.197,0.04,0.101,4.952,0.001,0.836,1.196
3,6,ln_tasp,ECF3R310,1.063,0.057,0.389,18.543,0.001,0.788,1.268
3,6,ln_tasp,ECF3R311,0.179,0.084,0.041,2.144,0.032,0.949,1.054
3,6,ln_tasp,ECF3R314,0.381,0.066,0.112,5.766,0.001,0.922,1.085
3,6,ln_tasp,ECF3R315,0.315,0.055,0.115,5.759,0.001,0.868,1.152
3,6,ln_tasp,ECF3R320,0.162,0.043,0.078,3.766,0.001,0.808,1.238
3,6,ln_tasp,ECF3R321,-0.145,0.077,-0.036,-1.871,0.062,0.925,1.081
3,6,ln_tasp,ECF3R322,0.352,0.053,0.137,6.652,0.001,0.825,1.212
3,6,ln_tasp,ECF3R323,0.209,0.043,0.107,4.897,0.001,0.734,1.362
3,6,ln_tasp,ECF3R325,0.162,0.056,0.059,2.91,0.004,0.838,1.193
3,6,ln_tasp,ECF3R326,-0.504,0.096,-0.101,-5.223,0.001,0.925,1.081
4,1,ln_sppsf,(Constant),4.004,0.034,,119.189,0.001,,
4,1,ln_sppsf,HALF_DUPLEX1STORY,0.163,0.095,0.046,1.706,0.088,,
4,1,ln_sppsf,SMALLEST,0.249,0.062,0.126,4.005,0.001,,
4,1,ln_sppsf,SMALL,0.124,0.044,0.094,2.8,0.005,,
4,1,ln_sppsf,QABOVE_AVG,0.292,0.132,0.059,2.216,0.027,,
4,1,ln_sppsf,QBELOW_AVG,-0.072,0.038,-0.065,-1.871,0.062,,
4,1,ln_sppsf,YB_1946_TO_1960,0.135,0.032,0.119,4.274,0.001,,
4,1,ln_sppsf,YB_POST_1990,-0.388,0.071,-0.159,-5.489,0.001,,
4,1,ln_sppsf,FIREPLACE,0.124,0.032,0.121,3.893,0.001,,
4,1,ln_sppsf,HOT_WATER,0.138,0.048,0.081,2.88,0.004,,
4,1,ln_sppsf,CENTRAL_AIR,0.128,0.034,0.103,3.793,0.001,,
4,1,ln_sppsf,MONTHS_15TO24,0.011,0.004,0.068,2.529,0.012,,
4,2,ln_price,(Constant),11.009,0.045,,242.488,0.001,,
4,2,ln_price,LN_LANDRATIO,0.443,0.075,0.133,5.921,0.001,,
4,2,ln_price,LN_BASE_BLDGSIZE_RATIO,0.778,0.094,0.327,8.246,0.001,,
4,2,ln_price,SINGLE_FAMILY2STORY,0.073,0.035,0.054,2.065,0.039,,
4,2,ln_price,HALF_DUPLEX1STORY,-0.187,0.093,-0.045,-2.018,0.044,,
4,2,ln_price,SMALLEST,0.171,0.068,0.075,2.525,0.012,,
4,2,ln_price,SMALL,0.079,0.043,0.052,1.821,0.069,,
4,2,ln_price,GOOD,0.384,0.108,0.076,3.539,0.001,,
4,2,ln_price,FAIR,-0.18,0.031,-0.121,-5.727,0.001,,
4,2,ln_price,POOR,-0.232,0.079,-0.062,-2.92,0.004,,
4,2,ln_price,UNSOUND,-0.373,0.132,-0.06,-2.832,0.005,,
4,2,ln_price,QABOVE_AVG,0.299,0.133,0.048,2.239,0.025,,
4,2,ln_price,QBELOW_AVG,-0.066,0.035,-0.052,-1.868,0.062,,
4,2,ln_price,YB_1946_TO_1960,0.098,0.03,0.074,3.251,0.001,,
4,2,ln_price,YB_POST_1990,-0.372,0.071,-0.123,-5.249,0.001,,
4,2,ln_price,LN_GARAGESPACES,-0.077,0.046,-0.036,-1.661,0.097,,
4,2,ln_price,FIREPLACE,0.134,0.029,0.115,4.66,0.001,,
4,2,ln_price,HOT_WATER,0.116,0.045,0.061,2.56,0.011,,
4,2,ln_price,CENTRAL_AIR,0.136,0.032,0.092,4.284,0.001,,
4,2,ln_price,MONTHS_1TO14,0.009,0.003,0.066,2.997,0.003,,
4,3,ln_price,(Constant),11.031,0.045,,245.381,0.001,,
4,3,ln_price,LN_LANDRATIO,0.143,0.069,0.043,2.069,0.039,0.824,1.214
4,3,ln_price,LN_BASE_BLDGSIZE_RATIO,0.475,0.075,0.2,6.36,0.001,0.357,2.799
4,3,ln_price,SINGLE_FAMILY2STORY,0.077,0.032,0.057,2.367,0.018,0.609,1.643
4,3,ln_price,HALF_DUPLEX1STORY,-0.186,0.082,-0.045,-2.264,0.024,0.892,1.121
4,3,ln_price,TWO_BATHS,0.253,0.086,0.062,2.933,0.003,0.781,1.281
4,3,ln_price,GOOD,0.208,0.098,0.041,2.119,0.034,0.94,1.064
4,3,ln_price,FAIR,-0.182,0.029,-0.123,-6.374,0.001,0.95,1.053
4,3,ln_price,POOR,-0.192,0.072,-0.051,-2.657,0.008,0.959,1.042
4,3,ln_price,UNSOUND,-0.227,0.12,-0.036,-1.897,0.058,0.965,1.036
4,3,ln_price,QBELOW_AVG,-0.059,0.033,-0.046,-1.819,0.069,0.542,1.845
4,3,ln_price,EXT_OTHER,-0.086,0.037,-0.053,-2.3,0.022,0.672,1.489
4,3,ln_price,YB_1946_TO_1960,0.049,0.028,0.037,1.767,0.077,0.808,1.237
4,3,ln_price,CRAWL,-0.155,0.084,-0.041,-1.84,0.066,0.721,1.387
4,3,ln_price,FIREPLACE,0.076,0.026,0.065,2.892,0.004,0.695,1.44
4,3,ln_price,CENTRAL_AIR,0.102,0.028,0.069,3.596,0.001,0.951,1.051
4,3,ln_price,ECF4R401,-0.168,0.053,-0.063,-3.14,0.002,0.863,1.159
4,3,ln_price,ECF4R402,-0.681,0.088,-0.151,-7.704,0.001,0.922,1.085
4,3,ln_price,ECF4R408,-0.133,0.046,-0.06,-2.903,0.004,0.836,1.196
