"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value","type","edf","ref_df"
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R303",-0.580751,0.094883,-6.120733,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R304",-0.723195,0.144193,-5.015458,1e-06,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R306",0.211539,0.154743,1.367033,0.171652,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R307",-0.450968,0.092478,-4.876489,1e-06,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R308",-0.771408,0.140155,-5.503964,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R309",-0.704057,0.178368,-3.947218,8e-05,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R310",0.391623,0.105027,3.728769,0.000194,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R311",-0.437308,0.13344,-3.277178,0.001053,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R312",-0.714493,0.101206,-7.059803,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R313",-0.524817,0.114519,-4.582791,5e-06,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R314",-0.32344,0.106313,-3.042326,0.002355,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R315",-0.299998,0.100132,-2.996032,0.002743,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R316",-0.741693,0.121487,-6.105102,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R317",-0.940207,0.23732,-3.961773,7.5e-05,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R318",-0.318297,0.178446,-1.783721,0.074506,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R319",-0.602425,0.090154,-6.682184,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R320",-0.486338,0.092653,-5.249002,0,"parametric",NA,NA
